文本,分类,情感,编号
之前爸妈买的都是第一次挺好的，但是后面再买就是玉米粒少又小，看别人评论买也还是会踩雷。,食品质量,positive,64
直播间买了各种第一次遇到这种售后服务态度的，,售后,negative,65
9抢到的，有两个，感觉很超值呢！,性价比,positive,66
国产眼影里珠光好看的很多，哑光色做的好的少，这系列的哑光色上眼顺滑发色浓郁，质量相当在线。,化妆品质量,positive,67
修仙少女的眼影们山海系列惊怪眼影试色李佳琦直播间有就入手了，到手后发现实物比图片更好看，,选品,positive,68
李魔鬼推荐的是夜行西飞和北冥宥鱼，我四色都入手了，并且觉得他推荐得对总结：有好价一定要试试的国货眼影,化妆品质量,positive,69
而一旦抱有这种想钱想疯了想法的人做事情肯定是不会靠谱的，是没有底线的，是不会有责任感的，,主播责任感,negative,70
但是，广大看直播的人太善良，直白就是傻，会那么那么信任这些人！,主播信任度,negative,71
每次心情不好的快乐源泉就在b站搜搜李佳琦,主播支持度,negative,72
李佳琦眼眶红了康康和庆庆微博都关了内部事件发酵成这样了我还想看到欢乐温暖的直播间,直播间气氛,negative,73
大家就是喜欢看李佳琦直播间售后都是保证都是你家没有的！,售后,positive,74
首先是她的材质，采用空气级素材，无钢圈加上无痕肩带再加上无感缝合，一切都是让我觉得轻便、透气与舒适。,服饰类质量,positive,75
运动穿搭原来bra也可以搭配得这么时尚之前看了李佳琦的直播，种草了Bananain蕉内这个牌子，,主播信任度,positive,76
了解下来我入了蕉内反重力bra氧漆黑和氧瑰紫两个颜色，内穿外搭都，我搭配了两套穿搭，舒适的同时也可以很好看,服饰类质量,positive,77
好看哦这款508A多功能背心式内衣，穿上我就爱上了！,服饰类质量,positive,78
但是完全不代表她就没有型，向上的无感托科技，让我觉得依旧很有型还有就是面料软软的，但是却吸湿排汗,服饰类质量,positive,79
品牌质量好，活动力度大，凭什么黑子说抵制就抵制，,活动力度,positive,80
直播售货是电视购物的演化，但是我就喜欢这种方式让我接触到认识到许多最新最好的产品,直播间氛围,positive,81
我喜欢李佳琦和薇娅的直播，不单单是他们推的优秀产品对我的吸引力，更是那种下单之后的激动的满足感,选品,positive,82
收到快递后的喜悦买他俩直播间的东西几乎不用考虑质量或售后，反正钻粉3的我买的东西都是百分百满意的。,主播信任度,positive,83
尤其是对于食品安全的把控，火锅底料竟然出现鸡毛？,食品质量,negative,84
真是不可思议，也希望呷哺呷哺火锅底料对此进行解释，对此进行道歉。,食品质量,negative,85
李佳琦直播在佳琦直播间买的呷哺呷哺火锅底料（咖喱味的底料），结果今天吃火锅时吃到两根鸡毛，第一次吃到,食品质量,negative,86
鸡毛时没在意，结果吃到最后又吃到一根鸡毛，这么严重的质量问题，希望李佳琦好好把关产品质量,食品质量,negative,87
李佳琦一开始也支持过benny，他也的确用心在做产品，东西都不错用，推荐的东西也很好,选品,positive,88
到后来哪里撕逼哪里有他，直播间画质也是越来越下降，我在这个事件前就取关他了。,直播间画质,negative,89
再说，我在jq直播间买的东西，是真真实实有优惠，消费遇到问题也会努力帮我们沟通,优惠,negative,90
站在佳琦的原因，那些黑他的人，到底有多少认真去看过他直播了解他工作的。,主播支持度,positive,91
李佳琦工作室声明以后大家可以多多在李佳琦直播间买东西。,主播支持度,positive,92
佳琦直播间选品太棒了。,选品,未知,93
反正我在他直播间买过东西，觉得还挺好用的，站李佳琦,主播支持度,positive,94
李佳琦被指虚假宣传明显有人搞李佳琦，事情都过去快两个月了才翻旧账从我看他的几次直播来说他还挺敬业的，,主播品质,positive,95
其实要好好的对待自己的粉丝，对带货的质量要严格的把关，不要让喜欢你的粉丝对你失望，你要把真正好的东西推荐给大家！,主播信任度,positive,96
这次因为阳澄湖大闸蟹事情，其实这已经不是第一次翻车了，之前在直播间卖锅也是一样，那网红带货要对质量担责吗,选品,negative,97
可能直播锅的时候男孩子不会使用，用法不当，就算是真的质量不好也不能一竿子打死人家啊，我不是谁的支持者,厨具类质量,negative,98
我看着李佳琦直播间的按摩椅本来不为所动，老妈过来瞄了一会说，好划算啊，买一个吧。,价格,positive,99
而李佳琦，人设就是很懂化妆护肤的专家。,主播专业度,positive,100
这样的结果就是，李佳琦能卖更加贵的产品，用户质量相对更加高，相信他的专业推荐。,主播信任度,positive,101
有多少姐妹是在李佳琦的综艺里被种草的,主播信任度,positive,102
体使用下来提亮效果不错，肤感清爽不搓泥性价比非常高，作为美白水乳的入门再适合不过了。,性价比,positive,103
我是挺支持李佳琦，能让我受益的人为啥要针对，再说了，消费者愿意花这个钱，只要不是违法乱纪，你管人家呢,主播支持度,positive,104
李佳琦直播间的衣服都可以买，品质都不错,服饰类质量,positive,105
1是收到的耳机右耳充不上电2是右耳还自带耳屎，品质相当堪忧3是售后瞪眼睛装傻，根本不管你耳机是脏是坏，一律让你自己花钱寄到检测点自己查去，一来一回耽误时间不说，检测也未必能检测出来。,售后,negative,106
李佳琦看到今天又上了苹果产品，想着可别又是喵速达这个老赖商家没想到又是他家，,数码产品质量,negative,107
作为一个昨天刚收到他家苹果耳机的受害者，真心劝退。,数码产品质量,negative,108
李佳琦直播间的大虾品质真的好好啊，味道又甜,食品质量,positive,109
李佳琦这枣夹核桃品质也太差了吧？,食品质量,negative,110
李佳琦买的佐卡伊足金桃花手链到了，桃花部分还行。,饰品质量,未知,111
也许是直播间灯光的原因，画面上看到的手链即使不是高端品质但是也是通透，亮的。,饰品质量,positive,112
希望以后的直播间其他的珠宝首饰可以越来越好，款式可以更多,饰品质量,positive,113
总结一下这几次买的差不多这个价位的手链，我感觉的黄金部分还行，但是其他部分的珠子或者是玉明显不通透，,饰品质量,negative,114
甚至有明显瑕疵给人一种很廉价的感觉。,饰品质量,negative,115
我真的看李佳琦直播间的预告，我会有想买的心，选的品真的好懂！,选品,negative,116
李佳琦想要白色长款高品质设计感羽绒服求推荐,主播信任度,positive,117
李佳琦什么时候能再上这个奶粉啊喝完了或者姐妹们还有其他奶粉推荐吗？,主播信任度,positive,118
配料表最好只有生牛乳没太多添加剂那种的口感品质还不错的,食品质量,positive,119
李佳琦觅菓的松子有点失望吃了一小把就有那么多坏果，以前每年都买，不仅比现在便宜而且品质没这么差劲过，,食品质量,negative,120
外面一层奶香奶香的，很浓的奶味，也是我最喜欢的部分。,食品质量,positive,121
里面的大枣是去果核的，每一颗都是品质很好的大枣，最中间是巴旦木，这个巴旦木的口感一般，因为不是很脆。,食品质量,positive,122
总体三个结合在一起的口感是不错的，其实如果可以的话，我会直接买奶加枣，就不要巴旦木的啦。,食品质量,positive,123
这个独立包装是非常方便携带的，一个一个吃的停不下来我个人真的很喜欢这种健康小零食！,食品质量,positive,124
所有女生体验官所有女生会员服务中心枣粮先生很早以前就被李佳琦种草了奶枣自己在直播间回购了好几次了奶枣,主播信任度,positive,125
可以说是老网红产品了，又健康，有好吃。,食品质量,positive,126
最后，我永远是李佳琦的所有女生，请别让这个词变质！,主播支持度,positive,127
李佳琦娇兰精华对干皮真的效果绝了，李老头，不管品牌品质啥样，你必须在！,主播支持度,positive,128
李佳琦直播间“卖贵”曝光。,价格,negative,129
李佳琦刚刚收到的和人拼的科颜氏面霜小样，没想到品质可以差成这样。,护肤品质量,negative,130
这次面霜的瓶子比假货还假，根本不是乳白色，灰绿灰绿的，印刷也很难看。,护肤品质量,negative,131
瓶口都是塑料屑，不知道掉了多少进面霜里。,护肤品质量,negative,132
面霜膏体的颜色气味质地都和之前买的不一样，整体都是牙膏那种漂白色，一股塑料感。,护肤品质量,negative,133
李佳琦姐妹们有没有品质比较好的牛排推荐。,主播信任度,positive,134
货比三家吧，不要过分相信主播，同等品质的前提下，哪个更划算买哪个呗。,价格,negative,135
这个标题本身就有问题，谁的问题就应该要吐槽谁啊？！,价格,negative,136
我也在直播间买过，品质没得说，其实觉得买贵了可以退的,价格,negative,137
李佳琦乌丫的毛衣挺贵的有买过的小姐姐吗品质如何能入手吗,价格,negative,138
李佳琦最近买的一些零食（1）：荷家，好小一只，比较硬，牙口好的才能吃。,食品质量,negative,139
馅料品质应该不错。,食品质量,positive,140
茄盒，不是特别好吃，和现做出来的差距挺大。,食品质量,negative,141
柏慧，一般，比绝世好吃点，绝世最后扔了，最好吃的还是尊乐。,食品质量,positive,142
紫皮腰果，回购。,食品质量,positive,143
板栗仁，回购，买了两份。,食品质量,positive,144
奶枣，回购，买了三份，还没发货。,发货,negative,145
作为李佳琦女孩真的每年都要囤点猫砂,主播支持度,positive,146
果然还得是李佳琦，我自己攻略了半天的四件套和李佳琦直播间买的四件套就是两种品质，李佳琦简直yyds！,主播信任度,positive,147
但是博洋家纺真的让我失望什么质量啊真的是,日用品质量,negative,148
我的科颜氏李佳琦科颜氏高保湿面霜这分量就一半，这罐子都是皮屑，这品质认真的吗？,护肤品质量,negative,149
，有个人帮你把控品质，我就觉得挺好的，买得放心和舒心，李佳琦不在的日子，其他任何直播我都不信任也不看,主播信任度,positive,150
就是只认准李佳琦！,主播信任度,positive,151
李佳琦双11预售首日卖出215亿主要是便宜，品质有保障，在他直播间很少踩雷的。,选品,positive,152
产品介绍的也很专业，没有套路。,主播专业度,positive,153
看了李佳琦，就想买东西。,主播专业度,positive,154
李佳琦代表了品质和价格！！,主播支持度,positive,155
听他播特别欢乐，忘记烦恼，但我会记住理性消费快乐购物，买自己需要的。,直播间氛围,positive,156
李佳琦在就好。,主播支持度,positive,157
李佳琦爱佳琦，我会蹲直播间买买买，因为不用操心选品，品质，也不怎么对比价格，每年有每年的情况吧,主播信任度,positive,158
李佳琦会说的明明白白，清清楚楚。,主播专业度,positive,159
李佳琦所有女生的offer李佳琦为什么会被这么多品牌方信任，真诚永远是第一绝技！,主播信任度,positive,160
李佳琦三家村一般般，坚果品质不好一股哈喇子味。,食品质量,positive,161
买大袋粮划算很多啊！,价格,positive,162
另外，高品质的狗粮也请帮忙谈一谈吧，多满足一些家长的需要，多一些选择。,食品质量,positive,163
六块钱一根玉米很奇怪吗，品质能一样吗。,价格,positive,164
得宝樱花谁用谁知道无敌好闻提高生活品质和日常心情必备好物在此谢谢李佳琦,主播信任度,positive,165
没看李佳琦之前我不知道我的生活品质这么差我怎么什么都没有,主播支持度,positive,166
跟着李佳琦买一点都不会踩坑，品质又很有保障,主播信任度,positive,167
我前阵子基本没有消费，把工资全部都攒起来了就等着他开播！！,主播支持度,positive,168
因为信赖，因为品质有保障，所以我会义无反顾的选择李佳琦。,主播信任度,positive,169
李佳琦是直播带货1.0时代的标志性人物，1.0时代的打开方式是超级主播，是商品的超高性价比。,主播信任度,positive,170
李佳琦在就好。,主播支持度,positive,171
佳琦直播间有品质的保障。,主播信任度,positive,172
理性消费，快乐购物就挺踏实的。,直播间气氛,positive,173
想买什么基本就能买到什么，而且物超所值。,性价比,positive,174
佳琦回来就好，以后会经常买买买,主播支持度,positive,175
一大清早，才知道，值得开心的一件事，李佳琦回来了，虽然他直播间的东西我觉得有一些小贵，,价格,negative,176
我说普通的东西，很多高端的我不讨论，但是品质我是特别相信。,主播信任度,positive,177
李老头就是品质的保证,主播信任度,positive,178
李佳琦今天真的有预感，佳琦真的回来了。,主播信任度,positive,179
佳琦，你的出现，我哭的像个傻子，因为你是我的某种寄托。,主播信任度,未知,180
网络购物这么多年，有你在，就有品质，有你和幕后的选品团队，我没有踩雷。,选品,positive,181
如果有一天，宁可我不买，你也要一直在！,主播信任度,positive,182
mua的李佳琦你像天使一样拯救我的心情感觉我的品质生活又要来了,主播信任度,positive,183
李佳琦回归普通人一枚，虽然不怎么看直播，也不怎么买买买，但是很真心的替李佳琦感到开心！！！,主播支持度,positive,184
终于能给我平平淡淡的生活，添加了些许色彩，直播的东西品质好接地气，看得出来很用心,价格,positive,185
咱们不说别的，李佳琦这男的太温柔了吧一直在劝大家理性消费快乐购物，不用帮佳琦冲销量的，按需购买还说如,主播品质,positive,186
得他的品控以及带货方式很舒服，希望男生们能多学学他优秀的品质，对待女生温柔体贴。,主播品质,positive,187
李佳琦念念不忘，必有回响熟悉的声音,主播支持度,negative,188
李佳琦你咋还不回来,主播支持度,positive,189
我还觉得科颜氏面霜挺好用的，直到我用完了再去买，发现它的品质跟你之前卖的不一样。,护肤品质量,negative,190
我二次购买的时候它的纸一扯就破，你当时卖的可不是这样的，,日用品质量,negative,191
听说李佳琦要回归了，正好可以赶上双11，期待他的好机制，别像蜜蜂惊喜社似的品质下降啊,主播支持度,未知,192
李佳琦期待李佳琦回归直播，现在都没有地方去买好品质，价格实惠的产品了，赶紧回来吧,主播信任度,positive,193
我每天都在等李佳琦回来，李佳琦能打折，有品质保证,主播信任度,positive,194
佳琦不在好多东西都不敢下手,主播信任度,positive,195
比如在你那买的衣服，虽然不是那么好看，但品质是不错的，也不会有廉价的感觉。,服饰类质量,positive,196
昨晚竟然梦到618最后一天李佳琦公众号发布了当晚直播预告，果然内心最信赖的选品还是李佳琦团队呀。,主播信任度,未知,197
价格很不错，把我妈都带进坑了天天要看你直播现在还想买其他的.,价格,positive,198
还不如学一学李佳琦给大家带来更多的高品质低价商品！,性价比,positive,199
佳琦不直播了，现在都不知道有什么好买的了,主播支持度,negative,200
李佳琦看佳琦直播以来，买了不少化妆品护肤品衣服以及一些从来不会想到要买的东西，花了不少钱是真的，快乐,主播支持度,positive,201
李佳琦推荐的东西挺好用的，上次的滴露很快就收到了，品质不错,洗护类质量,positive,202
但就是说一把子期待李佳琦的选品了，在品质方面让人也是挺放心的，这次还不飞奔而来，立刻下单,选品,positive,203
李佳琦滴露啥也不说了，滴露真的很好用，品质有保障,洗护类质量,positive,204
李佳琦滴露堂堂大主播佳琦今天自愿免费给滴露做广告，可见滴露品质是真好，大家口碑相传旗舰店买起！,洗护类质量,positive,205
但好像一到618或者双十一，好多猫粮的品质都会下降，翻车所以是产量多了，所以质量兼顾不了吗？,食品质量,negative,206
我还记得，之前佳琦跟我们说：美眉们，我希望国货品牌越做越好,主播支持度,positive,207
李佳琦用着刚入手的旅行箱去旅行，心情都美丽了！,箱包质量,positive,208
爱可乐的品质很赞，而且箱子设计得超太有气质了，这么轻的材质竟然这么结实，服气了，以后我还会回购的！,箱包质量,positive,209
李佳琦道歉其实这也不是佳琦的错吧，但是他的态度真的很棒，这才是一个公众人物该有的品质啊，优秀。,主播品质,positive,210
他直播间最近产品真的不咋地，感觉给钱就是上，当然也不仅仅他，我经常看的几个直播（都是靠前的主播）品质也在下降。,主播品质,negative,211
4最后我想说，新的直播间对于我个人来说有点像一个新的更高级的商场，我第一次去，稍微也是有点陌生和紧张，也有点露怯，但是我一看到佳琦，看到其他所有熟悉的面孔，坐在那边，带着我逛，我还是挺有安全感的。,主播信任度,positive,212
真的家里全部都是佳琦推荐的东西,主播信任度,positive,213
李佳琦赚钱想疯了？,主播品质,negative,214
李佳琦落户上海这就是这个时代的人才，代表了努力诚实的品质特色,主播品质,positive,215
知味观旗见店，端午节肉粽礼盒600g共6个李佳琦推荐，4.9高分，精选糯米，猪梅花肉，香甜软糯，酥烂,食品质量,positive,216
鲜嫩，百年工艺，超好吃，大牌品质真不差，吃了还想吃，早餐热一个配上牛奶超管饱！,食品质量,positive,217
芭睿芭睿的这个焕能赋活礼盒对淡化痘印的效果真的可以！,护肤品质量,positive,218
真的是大牌的品质，亲民的价格，最喜欢他瓶口旋转的设计了，而且所有肤质都可以用，滋润度强又不会觉得油，还可以促进,护肤品质量,positive,219
后续护肤产品的吸收，人手一瓶很需要了芭睿芭睿焕能赋活礼盒正在烦恼痘印的小伙伴看过来！,护肤品质量,positive,220
我用了一个周期痘印就淡了，效果显而易见，它是要把两个混合起来再使用，而且710天左右就要用完，保证它,护肤品质量,positive,221
能产生最好的效果，修护皮肤屏障的效果也很好，我准备长期使用了，有痘痘和皮肤屏障问题的朋友一定要试试！,护肤品质量,positive,222
买产品看的是品质，来看直播也是开心消费！,选品,positive,223
李佳琦三观真的很正！,主播品质,positive,224
李佳琦单身粮就这品质呢没有一盒是好的，下班回来刚收到之前买的货,食品质量,negative,225
粉嫩樱花感还带了点西柚橘，这支上嘴超级减龄!S003红枣波波茶：不挑皮的一颗浓郁红棕，秋冬的颜色，红棕里待了一丢丢土橘棕，黄皮非常友好喔！！,化妆品质量,positive,226
——李佳琦自知之明，看似普通，其实格外稀缺的品质。,主播品质,positive,227
花西子眉笔纤细版05李佳琦直播间购入，是真的非常好用，虽然不是九块九的高性价比，但是一分钱一分货，这款眉笔各方面都会更好一些。,化妆品质量,positive,228
非常全腮红刷散粉刷眼影刷细节刷都有主要是太好看了吧毛也软软的一点都不扎，品质绝对很好放心入,化妆品质量,positive,229
身边朋友也在用李佳琦直播间姐妹们都在抢滴赶快搞起来！,主播品质,positive,230
李佳琦没有人是一座孤岛温柔和善良大概是最宝贵的品质努力做自己善待他人便是最好的生活状态叭李佳琦冲鸭,主播品质,positive,231
李佳琦被指虚假宣传好奇怪的时间点，我也是买了螃蟹的，感觉品质不错耶，不论蟹的大小还是蟹黄蟹膏的量,食品质量,positive,232
很足，全家人都说很超值呀，肉也很大，为什么会有人黑，发货地点就近选择冷链可到的呀，佳琦说得清清楚楚，,物流,positive,233
保护我方李佳琦从新粉到铁粉到钻粉，吸引我们的一直都是佳琦金子一般的品质！,主播品质,positive,234
实话实说，为粉丝谋利，不虚伪不做作，我们支持他！,主播品质,positive,235
虽然经常看李佳琦的直播，但我还是比较理性剁手，起码他的产品还是有品质的,选品,positive,236
不能适合所有人，但质量是过关的。,选品,positive,237
而我不洗头单纯是因为懒哈今晚李佳琦直播间有这个，我得买两瓶这个牌子就是有点贵，没有优惠券我是不会买的,优惠,negative,238
美妆蛋好用是真好用，定妆喷雾懒惰的女孩们都给我喷起来！,化妆品质量,positive,239
李佳琦直播间不能进，本来什么都不准备买的我，才进去了10分钟就拍了四五个定金,主播信任度,positive,240
李佳琦直播间买的金银花炖梨果蔬汁饮料，一小袋包装，随身携带，上班、游玩都很方便，不是很甜的口味，完全不会有负担这两天的天气真是很适合郊游！,包装,positive,241
老子买的资生堂洗面奶还没拆开结果特么李佳琦直播间原价买一送一我次奥！,优惠,positive,242
李佳琦直播间买的这个水果玉米真不错，好甜,主播品质,positive,243
李佳琦直播间李老头真是最懂女生！,主播信任度,positive,244
终于可以看到李佳琦的母婴节直播预告清单啦！,直播预告,positive,245
李佳琦李佳琦直播李佳琦直播间小课堂攻略笔记来咯！！,主播专业度,positive,246
真的是我的年度睫毛膏！,化妆品质量,positive,247
下次准备多入两只睫毛膏备着！,化妆品质量,positive,248
8大促的功课，李佳琦直播间目前预计要买的就有51件了新的一周，开始为李佳琦努力搬砖动力十足,主播信任度,positive,249
在李7直播间买的两箱面包，包装也太差了吧！,包装,negative,250
收到货纸箱都被压垮了，里面的面包也都压扁了！,包装,negative,251
找客服也没人受理答复，体验感别提多差了！！！,售后,negative,252
在佳琦直播间买的萝卜干到了，想到他直播的时候说他们会用萝卜干炒腊肉，很香。,主播信任度,positive,253
于是，拆完快递的我兴高采烈做了起来，没想到的是，腊肉炒太久炒干了，整道菜好吃是好吃，吃完发现有点费牙,食品质量,negative,254
原价买的精华刚到快递点就看到李佳琦直播间买一赠一！！,优惠,positive,255
佳琦直播间买的鲜虾云吞真好吃！！,食品质量,positive,256
李佳琦直播间买的那三袋麻辣烫调料真难吃，似曾相识的康师傅方便面味道,食品质量,negative,257
李佳琦直播间的产品质量就这？,选品,negative,258
咱好歹是钻粉5，买的东西也不少，太失望了,主播信任度,negative,259
好吃！,食品质量,positive,260
椰椰芒芒好喝！,饮品质量,positive,261
李佳琦前几天直播间买的英诺修护乳到啦，太适合最近刷酸后烂脸的我了，什么时候有返场呀？,护肤品质量,positive,262
知麻投影知麻投影仪在佳琦直播间买的知麻投影仪，非常可以，我也能飙起来了奈斯，奈斯呐,电器质量,positive,263
李佳琦直播间现在选品是真的有问题啊，以前生活品都闭眼买质量绝对没问题，现在真的是.,选品,negative,264
他怎么能做到闭眼吹这个品好的？？,主播信任度,negative,265
我之前真的是随便点进去就选几样现在这种信任渐渐崩塌了我已经开始害怕,主播信任度,negative,266
李佳琦带货能力名不虚传，死活没人买的东西一上直播间哐哐哐就卖掉了,主播专业度,positive,267
在佳琦直播间买的那次送never挖勺的，真的又厚重又油甚至反光，像抹了一层蜡一样这真的正常吗,日用品质量,negative,268
不如直接给她买扫地机器人今天李佳琦直播间活动我看到就问她是不是这个好家伙买的是真不舍得！,价格,negative,269
去核冻榴莲肉可冲佳琦直播间买的8盒*100g真的超甜超软糯收到马上炫了一盒感觉比榴芒一刻的品质好,食品质量,positive,270
李佳琦直播间买的鹌鹑蛋好好吃,食品质量,positive,271
在佳琦直播间买的空刻意面挺适合宿舍党的，味道很好和外面的一样,食品质量,negative,272
以前基本从来不看直播间预告的，都是开播了差不多时间进去看看，不说每天都会下单也差不多了，,直播间预告,negative,273
这些天李佳琦直播间的选品真的看不懂啊，都是些啥，一堆重复的不认识的，看看今天预告，好了又没啥可买的,选品,negative,274
但是稍微有点不经用早知道多买两支，真的不晕妆！,化妆品质量,negative,275
ukiss的睫毛打底真的可以翘一整天但是有点泛白需要加睫毛膏李佳琦直播间花50多买的艾杜纱极细眼线笔,化妆品质量,positive,276
李佳琦直播真的很爱看他直播，很多东西都在他直播间买的,主播信任度,negative,277
你们家的冲牙器，一个充不进电换了一个还是充不进去电，拜托，产品做不好，就不要做了,电器质量,negative,278
李佳琦直播间买的瑷尔博士酸奶面膜送了一堆东西太划算啦李佳琦冲呀！！！,价格,positive,279
佳琦直播间买的酒，赠品忒可爱,赠品,positive,280
佳琦小程序兑换的洗面奶到手啦，大碗又好用！,性价比,positive,281
所以大家在直播间买的东西都记得兑换积分哦所有女生会员服务中心,积分兑换,positive,282
刚买的帽子佳琦直播间99！啊亏死我了,价格,negative,283
李佳琦直播间买的手冲茶到了李佳琦不要太会选品，水獭吨吨的茶块真的好好喝！,选品,positive,284
